id,program_name,category_primary,category_secondary,description,url_pdf,age_min,age_max,income_type,income_max,household_size,residence_required,employment_status,house_type,special_conditions,support_type,support_amount,support_duration,support_details,application_period,how_to_apply,contact,difficulty_level,raw_text,
11,긴급생활안정자금 지원(한강론),생활·금융,대출지원,신용회복위원회 채무조정 또는 개인회생 절차 성실 이행 청년에게 긴급 생활 안정 자금 저리 지원,https://youth.seoul.go.kr/content.do?key=2502130001,19,39,null,null,null,서울,null,null,주민등록상 서울시 거주 만 19세~39세 청년. 신복위 채무조정 6개월 이상 성실 상환/완료자 또는 개인회생 인가 후 12개월 이상 성실 상환/완료자.,대출지원,최대 1500만원,최대 60개월,"연 금리 3%의 긴급 자금 대출 (생활비, 의료비 등 활용)",연중 계속,신용회복위원회 홈페이지 소액금융 대출제도(서울특별시 한강론) 메뉴 확인 후 신청 또는 콜센터 상담,신용회복위원회 콜센터 1600-5500,3,"서울시-신용회복위원회-금융기관 협약으로 운영되는 긴급생활안정자금 대출. 서울 거주 만19~39세 청년이 대상이며, 채무조정(6개월+) 또는 개인회생(12개월+)을 성실 이행 중이거나 최근 3년 내 이행완료자에 한해 연3%, 최대60개월, 최대1500만원 한도 내 지원(심사 필요).",
12,저소득시민 부가급여,생활·금융,생활지원,기초생계·의료급여 수급자 가구 추가 지원,https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=40,null,null,기초생활수급자,null,null,서울,null,null,기초생계·의료급여 수급자 (시설수급자 제외) 및 저소득 보훈대상자,현금지원,"중고생교통비(연 43.2만원), 명절위문품비(연 6만원), 월동대책비(연 5만원)",연중,"서울시 자체적으로 중고생교통비를 분기별 지원, 명절(설날·추석)에 위문품비 지원, 11월에 월동대책비 지원",연중,"자동지급 (별도 신청 불필요, 자격 보유자에 한함)",자치구 복지담당부서,1,서울시가 기초생계급여 및 의료급여 수급자 가구에 부가적으로 지원하는 제도입니다. 중고생이 있는 가구에는 분기별로 교통비를 지원하고 설날과 추석 명절에는 위문품비를 11월에는 월동대책비를 지원하여 수급자 가구의 생활 안정을 돕습니다. 별도의 신청 절차 없이 수급자 자격이 확인되면 자동으로 지급됩니다.,
13,희망두배 청년통장,생활·금융,저축지원,서울 거주 일하는 청년이 월 15만원을 2년 또는 3년 저축하면 동일 금액(15만원)을 매칭 적립 지원,https://welfare.dobong.go.kr/dobongBokji/cmmn/file/fileDown.do?atchFileId=83049776b1624ff18cc70606c70534ff&fileSn=2,18,34,근로소득(본인),세전 월평균 255만원 이하,null,서울,근로(최근1년 3개월 이상 또는 현재 3개월 이상),null,"서울 거주(주민등록), 본인 근로요건 충족, 부·모(기혼시 배우자) 소득 연 1억 미만 & 재산 9억 미만, 생계·의료·주거·교육급여 수급자 참여 제외(보장시설 포함)",저축매칭,본인 월 15만원 + 매칭 월 15만원(1:1),2년 또는 3년,"2년 만기 720만원+이자 / 3년 만기 1,080만원+이자 (주거·결혼·교육·창업·미래대비 등 목적)",2025.06.09~2025.06.20 18:00,온라인 접수(account.welfare.seoul.kr),서울시 희망두배·꿈나래통장 콜센터 1688-1453,4,"2025년 공고 기준: 만 18~34세, 월 15만원 저축, 동일액 매칭, 2/3년 선택, 본인소득(월255만원) 및 부모/배우자 소득·재산 기준 적용, 기초급여 수급자는 제외.",
14,서울형 긴급복지 지원,생활·금융,긴급생계,갑작스러운 위기상황으로 생계유지가 곤란한 저소득 위기가구에 생계비·주거비·의료비 등 1회(회계연도 기준) 긴급 지원,https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=85,null,null,중위소득,100,null,서울,null,null,"국가긴급복지 등 타 제도 지원을 받지 못하는 저소득 위기가구(긴급복지지원법/조례 및 구·동 사례회의가 정한 위기사유 해당). 재산 4억900만원 이하, 금융재산 1,000만원 이하.",현금/현물,"생계지원(1인 730,500원 / 2인 1,205,000원 / 3인 1,541,700원 / 4인 1,872,700원 / 5인 2,186,500원 / 6인 2,458,400원) + 의료지원(최대 100만원) + 주거지원(최대 100만원) + 시설이용지원(가구원수별) + 교육지원(초 127,900원/중 180,000원/고 214,000원(수업료+입학금)) + 기타지원(연료비 150,000원, 해산비 700,000원, 장제비 800,000원, 전기요금 500,000원 이내)",1회(회계연도 기준),위기사유 발생 시 동/구 사례회의(긴급 시 선지원 후 사후승인 가능)를 통해 필요 항목(생계·의료·주거·교육·기타 등)을 1회 신속 지원(현금 또는 현물).,연중 수시,"동주민센터 및 구청에 수시 신청(방문/전화). 신청서류: 신청서, 개인정보동의서, (해당 시) 임대인확인서·주거비/의료비 청구서 등",02-2133-7393,3,"기준중위소득 100% 이하 + 재산 4억900만원 이하 + 금융재산 1,000만원 이하의 타 제도 미지원 저소득 위기가구를 대상으로, 생계비(가구원수별)·의료/주거(각 최대 100만원)·교육/기타 등을 회계연도 기준 1회 신속 지원. 신청은 동주민센터/구청 수시.",
15,서울형 기초보장제 생계급여,생활·금융,생계급여,국민기초 법정요건 미충족 비수급 빈곤층 생계비 지원(서울시 자체),https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=25,null,null,소득평가액(중위소득),48,null,서울,null,null,"서울 주민등록상 서울 거주 실거주자. 소득평가액 기준 중위소득 48% 이하. 재산(일반+자동차+금융-부채) 1.55억원 이하(주거용재산 포함 시 2.54억원 이하). 금융재산 3,600만원 초과 제외. 소득환산율 100% 적용 차량 소유자 제외. 국민기초(생계·의료·주거급여) 최소 1개 이상 수급 시 서울형 지원 불가(맞춤형 우선, 부적합자만 가능). 부양의무자 연소득 1.3억원 초과 또는 일반재산 12억원 초과 시 지원 불가. 30세 미만은 주민센터 별도 상담 필요.",현금지급,가구별 차등(소득대비 차등지원),매월,비수급 빈곤층 최저생활 보장을 위해 소득대비 차등으로 매월 생계급여 지급,연중,주소지 관할 동주민센터 방문 신청(국민기초와 동시신청),02-120 또는 관할 동주민센터,3,서울형 기초보장제도는 국민기초(생계·의료·주거급여) 법정기준 미충족으로 보호를 받지 못하는 비수급 빈곤층을 지원. 소득평가액 중위48% 이하 + 재산/금융/차량/부양의무자 기준 충족 필요. 국민기초 급여 수급(예정 포함) 시 원칙적으로 제외되며 부적합자에 한해 서울형 검토.,
16,서울엄마아빠택시 지원,생활·금융,교통지원,서울시 거주 24개월 이하 영아를 양육하는 실질 양육자에게 영아용 카시트 구비 택시 이용권(포인트) 연 10만원(영아 1인당) 지원,https://umppa.seoul.go.kr/hmpg/sprt/mdtx/bzin/bzmgPageDetail.do?biz_mng_no=3EF7489ACF614F939FEF8514308797D2,null,null,null,null,null,서울,null,null,"서울시 주소, 신청일 기준 24개월 이하 영아 양육 실질양육자(부모/조부모/3촌 이내 친인척과 주민등록 등재 등). 다자녀/한부모 등은 추가 포인트(해당 시).",바우처(택시포인트),"기본 연 10만원(영아 1인당) + 운영업체 추가포인트 최대 2만원(조건별: 10만원 적립 5천원, 3개월 내 전액 소진 5천원, 다자녀/한부모 해당 1만원)",포인트 생성일~2025-12-15 23:59(차량하차 기준),"영아 1명당 운영업체(타다/파파) 중 1개 선택 신청 후, 선택 업체 앱 설치/이용(차량 1대당 카시트 1개 지원). 예약 호출 원칙·선택 업체 변경 불가. 사용기한 종료 시 잔여 포인트 소멸.",2025-02-24~2025-11-30,몽땅정보 만능키에서 신청(영아 1명당 운영업체 1개 선택)→선택 업체 앱 설치/가입→포인트 부여 후 이용,다산콜센터 02-120,2,"서울엄마아빠택시 지원: 신청 2025.02.24~2025.11.30 / 이용(포인트) 2025.12.15 23:59까지. 대상: 서울 주소 24개월 이하 영아 실질양육자. 지원: 카시트 택시 포인트 연 10만원(영아 1인당) + 조건별 추가 포인트. 운영업체: 타다/파파(파파 신규신청 마감, 타다는 ~2025.11.30 신규신청 가능 안내).",
17,저소득 어르신 급식지원,생활·금융,급식지원,저소득 어르신 무료급식 및 도시락·밑반찬 배달,https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=48,60,null,기초생활수급자/차상위/저소득,null,null,서울,null,null,만 60세 이상 결식우려 기초생활수급자 및 저소득 어르신,현물/서비스,경로식당 무료급식 또는 도시락·밑반찬 배달,연중,어려운 가정형편 또는 거동불편으로 식사를 거르는 어르신 대상 경로식당 무료급식 및 재가 어르신 도시락·밑반찬 배달,연중,동주민센터 방문 신청,자치구 노인복지담당부서,2,어려운 가정형편이나 기타 부득이한 사정으로 식사를 거르는 어르신과 거동이 불편한 재가 어르신들을 위하여 경로식당 무료급식 및 도시락·밑반찬을 배달하여 어르신들의 건강증진과 삶의 질 향상을 도모하는 서울시 사업입니다. 만 60세 이상 결식우려 기초생활수급자 및 저소득 어르신이 대상이며 경로식당을 방문하여 무료급식을 제공받거나 거동이 불편한 경우 가정으로 도시락이나 밑반찬을 배달받을 수 있습니다. 동주민센터를 통해 신청하면 자치구에서 대상자를 선정하여 서비스를 제공합니다.,
18,서울시 임산부 교통비 지원,출산지원,교통비지원,"서울시 거주 임신 3개월~출산 후 3개월 임산부에게 교통비 70만원 바우처(이용권) 지원",https://www.seoulmomcare.com/main/main.do,null,null,null,null,null,서울,null,null,"서울시 거주 임신 3개월~출산 후 3개월 임산부(다문화가족 외국인 임산부 포함), 소득 무관",이용권(바우처),"임산부 1인당 70만원(본인 명의 신용/체크카드 바우처 지급)",자녀출생일(분만예정일)로부터 6개월 되는 달 말일까지,"버스·지하철·택시·자가용 유류비·철도·기후동행카드(선불권) 충전 등 교통 가맹점에서 사용",상시신청,"온라인(임신 중: 정부24 맘편한임신→서울맘케어시스템 / 출산 후: 서울맘케어시스템) 또는 주소지 관할 동주민센터 방문 신청",다산콜센터 120,1,"서울시 거주 임신 3개월~출산 후 3개월 임산부에게 70만원 교통비 바우처를 본인 명의 카드로 지급하며, 사용기한은 자녀출생일(분만예정일)로부터 6개월 되는 달 말일까지."


